2459319.576	6423.3	135.8	
2459320.613	6329.0	224.7
2459321.737	6463.0	165.2
2459322.642	6783.3	118.6
2459323.634	6655.6	123.0
2459324.630	7153.7	148.8
2459327.580	5846.3	242.0
2459329.568	6333.2	132.9
2459330.579	6344.9	127.8
2459332.550	6226.9	179.4
2459333.592	6538.0	190.0
2459334.584	6281.0	137.0
2459335.551	6835.0	321.0
2459342.644	6955.0	114.0
#2459343.571	6894.5	127.8
#2459343.648	6635.2	158.0
2459344.548	6209.6	299.3
2459345.525	6249.9	143.0
2459345.601	6345.5	137.8
2459346.545	6109.4	152.6
2459346.628	5915.4	176.0
