time,flux,flux_err
2459252.949706,1.0012091829833705,0.001042
2459252.951144,1.0017741829833706,0.001042
2459252.952569,1.0018261829833706,0.001042
2459252.953995,1.0002891829833707,0.001042
2459252.95543,1.0014001829833705,0.001042
2459252.956863,0.9999061829833705,0.001034
2459252.958296,1.0000891829833705,0.001034
2459252.959724,1.0000711829833706,0.001034
2459252.961251,0.9995071829833706,0.001034
2459252.962692,1.0004011829833706,0.001034
2459252.964121,0.9993071829833705,0.001034
2459252.965554,0.9983171829833706,0.001034
2459252.966991,1.0027121829833705,0.001034
2459252.96842,0.9992031829833705,0.001034
2459252.969857,0.9999581829833706,0.001034
2459252.971289,0.9987861829833705,0.001034
2459252.972725,0.9991681829833705,0.001025
2459252.974157,1.0013401829833706,0.001034
2459252.975588,0.9999671829833706,0.001025
2459252.977018,1.0005751829833707,0.001034
2459252.978455,0.9973791829833706,0.001025
2459252.979884,0.9978911829833705,0.001034
2459252.981315,1.0002191829833706,0.001034
2459252.982742,0.9995941829833705,0.001034
2459252.984167,1.0013311829833706,0.001034
2459252.985588,1.0000541829833705,0.001034
2459252.987017,1.0016261829833706,0.001034
2459252.988457,1.0024951829833706,0.001034
2459252.989899,0.9998801829833706,0.001034
2459252.991331,1.0006011829833705,0.001025
2459252.992769,1.0021131829833705,0.001025
2459252.994204,1.0024771829833705,0.001025
2459252.995647,1.0004361829833706,0.001025
2459252.997082,1.0010181829833706,0.001025
2459252.998503,1.0008621829833706,0.001025
2459252.999931,1.0009141829833705,0.001025
2459253.001358,1.0001841829833706,0.001025
2459253.002792,1.0014781829833705,0.001025
2459253.004215,1.0020781829833705,0.001025
2459253.005652,0.9996811829833706,0.001025
2459253.007093,1.0002621829833707,0.001025
2459253.008524,0.9979871829833705,0.001016
2459253.009955,0.9994891829833705,0.001016
2459253.01139,0.9983261829833706,0.001016
2459253.012833,1.0011401829833706,0.001016
2459253.014263,0.9989421829833706,0.001016
2459253.015689,1.0009401829833706,0.001025
2459253.017129,0.9978301829833706,0.001016
2459253.01858,0.9997761829833706,0.001016
2459253.020008,0.9998021829833705,0.001016
2459253.021441,0.9976651829833706,0.001016
2459253.022881,1.0003581829833705,0.001016
2459253.024309,1.0000021829833705,0.001016
2459253.025764,0.9979261829833705,0.001016
2459253.027192,1.0000191829833704,0.001016
2459253.02867,0.9989681829833705,0.001016
2459253.030094,0.9999151829833706,0.001016
2459253.031525,0.9985431829833705,0.001016
2459253.032967,0.9990461829833706,0.001016
2459253.0344,0.9999321829833706,0.001016
2459253.035877,1.0010531829833706,0.001016
2459253.03731,0.9983081829833705,0.001016
2459253.038742,1.0034411829833705,0.001016
2459253.040174,0.9982211829833706,0.001016
2459253.0416,1.0004711829833706,0.001016
2459253.043035,0.9983081829833705,0.001016
2459253.044513,1.0010531829833706,0.001016
2459253.045947,1.0012611829833706,0.001016
2459253.047381,0.9993851829833705,0.001008
2459253.048825,0.9986301829833706,0.001008
2459253.050261,0.9995681829833706,0.001016
2459253.051686,1.0001841829833706,0.001008
2459253.053159,1.0018351829833705,0.001016
2459253.054587,0.9988291829833705,0.001016
2459253.056019,0.9983691829833705,0.001008
2459253.057455,1.0013571829833705,0.001016
2459253.058883,1.0001241829833705,0.001016
2459253.060326,1.0003061829833706,0.001016
2459253.061765,1.0015831829833706,0.001008
2459253.063204,1.0000711829833706,0.001008
2459253.064632,1.0001321829833705,0.001016
2459253.066066,0.9994551829833705,0.001016
2459253.0675,1.0002361829833706,0.001016
2459253.06893,0.9992901829833706,0.001016
2459253.070517,0.9995071829833706,0.001008
2459253.072054,0.9993241829833706,0.001008
2459253.073471,1.0007751829833706,0.001016
2459253.074903,1.0009921829833706,0.001016
2459253.076438,1.0004361829833706,0.001016
2459253.077966,0.9994551829833705,0.001008
2459253.079463,0.9981951829833705,0.001008
2459253.080889,0.9997331829833705,0.001016
2459253.082326,0.9996541829833706,0.001008
2459253.083761,1.0008101829833707,0.001016
2459253.085189,1.0004971829833706,0.001008
2459253.086628,0.9982821829833706,0.001008
2459253.088061,0.9991161829833706,0.001016
2459253.089489,0.9995421829833706,0.001008
2459253.090949,0.9958761829833706,0.001008
2459253.092396,0.9982911829833706,0.001016
2459253.093829,0.9960591829833706,0.001016
2459253.095257,0.9962151829833705,0.001008
2459253.096699,0.9957811829833706,0.001008
2459253.098127,0.9958071829833706,0.001008
2459253.099561,0.9948771829833706,0.001008
2459253.101005,0.9932881829833705,0.001008
2459253.102443,0.9950601829833705,0.001008
2459253.103879,0.9953381829833705,0.001008
2459253.105308,0.9948161829833706,0.001008
2459253.106736,0.9964151829833706,0.001008
2459253.108171,0.9961541829833706,0.001008
2459253.109627,0.9945211829833706,0.001008
2459253.111062,0.9940521829833706,0.001008
2459253.112499,0.9946251829833705,0.001008
2459253.113938,0.9924541829833705,0.000999
2459253.11537,0.9960501829833706,0.001008
2459253.116808,0.9940261829833705,0.000999
2459253.118238,0.9980131829833706,0.001008
2459253.119671,0.9943561829833706,0.001008
2459253.121107,0.9974831829833706,0.001008
2459253.122534,0.9954941829833706,0.001008
2459253.123961,0.9944431829833705,0.001008
2459253.125398,0.9955201829833705,0.001008
2459253.126824,0.9917851829833706,0.001008
2459253.128267,0.9944171829833706,0.001008
2459253.129692,0.9952771829833705,0.001008
2459253.131121,0.9962761829833706,0.001016
2459253.132556,0.9939131829833706,0.001025
2459253.13399,0.9931841829833705,0.001008
2459253.135423,0.9930191829833706,0.001016
2459253.136863,0.9962411829833706,0.001025
2459253.138297,0.9952771829833705,0.001016
2459253.139729,0.9959981829833706,0.001025
2459253.141168,0.9948691829833706,0.001016
2459253.142594,0.9942001829833705,0.001016
2459253.144025,0.9955201829833705,0.001008
2459253.145447,0.9943561829833706,0.001016
2459253.146875,0.9952771829833705,0.001008
2459253.148298,0.9960321829833706,0.001016
2459253.149726,0.9949211829833705,0.001025
2459253.151154,0.9940961829833705,0.001016
2459253.152576,0.9958331829833705,0.001016
2459253.154311,0.9942611829833705,0.001016
2459253.155743,0.9940611829833705,0.001016
2459253.157179,0.9927231829833706,0.001016
2459253.158609,0.9941131829833706,0.001016
2459253.160043,0.9946431829833705,0.001016
2459253.161467,0.9969361829833706,0.001016
2459253.162905,0.9965971829833705,0.001016
2459253.164336,0.9953551829833706,0.001025
2459253.165759,0.9959201829833706,0.001016
2459253.167188,0.9937831829833705,0.001025
2459253.168617,0.9946511829833705,0.001016
2459253.170049,0.9944171829833706,0.001016
2459253.171485,0.9960321829833706,0.001016
2459253.172917,0.9952861829833706,0.001025
2459253.174356,0.9962411829833706,0.001025
2459253.175788,0.9954421829833706,0.001025
2459253.177214,0.9943911829833706,0.001025
2459253.178643,0.9962321829833706,0.001016
2459253.18007,0.9945731829833706,0.001016
2459253.181509,0.9945561829833706,0.001025
2459253.182951,0.9965881829833706,0.001025
2459253.184375,0.9953291829833706,0.001025
2459253.185798,0.9953201829833705,0.001025
2459253.187224,0.9952681829833706,0.001025
2459253.188654,0.9936181829833706,0.001025
2459253.190082,0.9966491829833706,0.001034
2459253.191524,0.9960931829833706,0.001034
2459253.192961,0.9968141829833705,0.001034
2459253.194389,0.9969011829833706,0.001042
2459253.195841,0.9963281829833706,0.001042
2459253.197271,0.9993331829833706,0.001042
2459253.198709,0.9991941829833706,0.001034
2459253.200142,0.9981431829833706,0.001025
2459253.201587,1.0019561829833705,0.001025
2459253.203017,1.0008101829833707,0.001025
2459253.204464,0.9993681829833706,0.001025
2459253.205889,1.0000631829833706,0.001025
2459253.207304,1.0017821829833706,0.001025
2459253.208728,1.0006881829833705,0.001025
2459253.210162,0.9998371829833705,0.001034
2459253.21159,0.9996111829833706,0.001034
2459253.213016,0.9999061829833705,0.001025
2459253.214443,1.0000281829833706,0.001034
2459253.215874,1.0004011829833706,0.001034
2459253.217309,0.9983861829833706,0.001034
2459253.218749,1.0013221829833705,0.001034
2459253.22018,0.9995161829833705,0.001042
2459253.221611,1.0001931829833706,0.001034
2459253.223042,0.9993681829833706,0.001042
2459253.224465,0.9988211829833705,0.001034
2459253.225895,1.0009751829833706,0.001034
2459253.227319,0.9974221829833706,0.001034
2459253.228745,1.0004281829833706,0.001034
2459253.230178,0.9985771829833706,0.001034
2459253.231618,0.9990031829833705,0.001034
2459253.233045,1.0005931829833705,0.001042
2459253.234471,0.9991771829833705,0.001034
2459253.235904,1.0003321829833705,0.001042
2459253.237332,1.0012961829833706,0.001042
2459253.238804,0.9996721829833706,0.001042
2459253.240234,1.0008181829833707,0.001042
2459253.24166,0.9973181829833706,0.001042
2459253.243103,1.0002101829833705,0.001042
2459253.244536,1.0006191829833706,0.001042
2459253.245966,1.0017301829833705,0.001042
